@relation Homogenio_y_Crudo

@attribute TID numeric
@attribute Agua(Cascada) {t}
@attribute Agua(Dasani) {t}
@attribute 'Bola de yuca' {t}
@attribute Bolon {t}
@attribute 'Brownie Cukis' {t}
@attribute Bubalu {t}
@attribute 'Cafe peq' {t}
@attribute 'Canada Dry' {t}
@attribute Capricho {t}
@attribute 'Check Mix' {t}
@attribute 'Chicle Trident' {t}
@attribute Chocolate {t}
@attribute Chokis {t}
@attribute Chulito {t}
@attribute 'Coca Cola' {t}
@attribute 'Country Club Naranja' {t}
@attribute 'Country Club Rojo' {t}
@attribute Croqueta {t}
@attribute 'Crosan de queso' {t}
@attribute Doritos {t}
@attribute 'Dr Pepper' {t}
@attribute 'Empanada (Pizza)' {t}
@attribute 'Empanada (Pollo)' {t}
@attribute 'Empanada (Queso)' {t}
@attribute 'Galleta Crunchy' {t}
@attribute 'Galleta Dino' {t}
@attribute 'Galleta Napolitana' {t}
@attribute 'Galleta Quarter' {t}
@attribute 'Galleta Ritz' {t}
@attribute 'Galleta de Avena' {t}
@attribute 'Galleta de Chocolate' {t}
@attribute Gaytorade {t}
@attribute Guineo {t}
@attribute 'Galleta Oreos' {t}
@attribute 'Iced Tea de limon' {t}
@attribute 'Jugo Natural avena' {t}
@attribute 'Jugo Natural chinola' {t}
@attribute 'Jugo Natural guayaba fresa' {t}
@attribute 'Jugo de Carton Petit peq' {t}
@attribute 'Jugo de Carton Rica med' {t}
@attribute 'Jugo de Carton Rica peq' {t}
@attribute 'Jugo de Carton Santal peq' {t}
@attribute 'Jugo de Lata Petit' {t}
@attribute Lays {t}
@attribute Lenguita {t}
@attribute 'Menta Hall' {t}
@attribute Palitos {t}
@attribute Pastelito {t}
@attribute Platanito {t}
@attribute Pringles {t}
@attribute Quipe {t}
@attribute Refresco {t}
@attribute 'Rollo de pollo' {t}
@attribute Sandwhich {t}
@attribute Snapple {t}
@attribute Tartica {t}
@attribute Hombre {t}
@attribute Mujer {t}
@attribute Estudiante {t}
@attribute Profesor {t}
@attribute Empleado {t}
@attribute Egresado {t}
@attribute 'ADHA (Adm. Hotelera)' {t}
@attribute 'ADM (Adm. Empresa)' {t}
@attribute 'AQR (Arquitectura)' {t}
@attribute 'COA (Comunicaci�_n Audiovisual)' {t}
@attribute 'COC (Comunicaci�_n Corporativa)' {t}
@attribute 'DER (Derecho)' {t}
@attribute 'DIN (Dise��o Interior)' {t}
@attribute 'ED (Educaci�_n)' {t}
@attribute 'EST (Estomatologia)' {t}
@attribute 'FIL (Filosofia)' {t}
@attribute 'GFA (Gestion Financiera)' {t}
@attribute 'IC (Ingenier�_a Civil)' {t}
@attribute 'IEEI (Ingenier�_a El��ctrica - Electronica)' {t}
@attribute 'IIS (Ingenier�_a Industrial)' {t}
@attribute 'IME (Ingenier�_a Mecanica)' {t}
@attribute 'ISC (Ingenier�_a Sistema)' {t}
@attribute 'ITT (Ingenier�_a Telematica)' {t}
@attribute 'MCT (Mercadotecnia)' {t}
@attribute 'MED (Medicina)' {t}
@attribute 'NUT (Nutrici�_n)' {t}
@attribute 'PSIC (Psicologia)' {t}
@attribute 'TF (Terapia Fisica)' {t}
@attribute '9:00 am a 10:00 am' {t}
@attribute '10:00 am a 11:00 am' {t}
@attribute '11:00 am a 12:00 pm' {t}
@attribute '12:00 pm a 1:00 pm' {t}
@attribute '2:00 pm a 3:00 pm' {t}
@attribute '3:00 pm a 4:00 pm' {t}
@attribute '5:00 pm a 6:00 pm' {t}
@attribute '6:00 pm a 7:00 pm' {t}
@attribute '7:00 pm a 8:00 pm' {t}
@attribute '50 o menos' {t}
@attribute '51 a 100' {t}
@attribute '101 o mas' {t}
@attribute Manana {t}
@attribute Tarde {t}
@attribute Noche {t}
@attribute Agua {t}
@attribute Snacks {t}
@attribute Galletas {t}
@attribute Empanada {t}
@attribute 'Jugo Natural' {t}
@attribute 'Jugo Procesado' {t}
@attribute Refrescos {t}
@attribute 'Comida Vitrina' {t}
@attribute Golosinas {t}

@data
1,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,t,t,?
2,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,t,?,?,t,t,?
3,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,t,?,?,t,?,?
4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?
5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,?,?,t,?
7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?
8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?
9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,t,?,?,?,?,?,?
10,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,t,?,?
11,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,t
12,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,t,?,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,t,t,?
14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,t,?,?
15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,t,?,?,?
16,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,t,?,?,t,?
17,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,t,?,t,?,t,?
