Pastelito,Capricho,CanadaDry,
Empanada(Pizza),Capricho,CanadaDry,
Empanada(Pollo),CanadaDry,,
Doritos,,,
Doritos,,,
Pastelito,JugoNaturalguayabafresa,,
Palitos,,,
Guineo,,,
Guineo,GalletaDino,,
CanadaDry,,,
MentaHall,,,
Agua(Cascada),,,
Capricho,,,
Refresco,,,
Gaytorade,,,
Agua(Cascada),Chulito,JugoNaturalguayabafresa,
Empanada(Pollo),Tartica,JugodeCartonSantalpeq,
Agua(Cascada),Doritos,,
Empanada(Pollo),IcedTeadelimon,GalletaOreo's,
Agua(Cascada),,,
Agua(Cascada),ChicleTrident,,
GalletaNapolitana,,,
JugodeCartonPetitpeq,BrownieCukis,,
Agua(Cascada),,,
Agua(Cascada),,,
Empanada(Pollo),Capricho,CheckMix,
Empanada(Pollo),,,
JugodeCartonRicapeq,GalletaQuarter,,
Guineo,Pastelito,JugoNaturalchinola,
GalletaNapolitana,,,
Empanada(Pollo),Snapple,,
CocaCola,CountryClubRojo,,
Agua(Cascada),Bolon,,
Agua(Cascada),,,
Empanada(Pollo),Capricho,JugodeCartonRicamed,
Empanada(Pizza),Boladeyuca,IcedTeadelimon,
Rollodepollo,JugodeCartonRicapeq,,
Guineo,GalletaDino,,
Agua(Cascada),,,
Agua(Dasani),Empanada(Pizza),Boladeyuca,
Guineo,IcedTeadelimon,Sandwhich,
Empanada(Pizza),Pastelito,,
Boladeyuca,,,
Empanada(Pollo),JugodeCartonRicamed,,
GalletaQuarter,,,
Rollodepollo,JugoNaturalavena,,
Agua(Cascada),Bolon,,
Doritos,ChicleTrident,,
Agua(Cascada),,,
Agua(Cascada),Lays,,
Chocolate,,,
Lays,CocaCola,,
Platanito,Lays,CocaCola,
Empanada(Pollo),Rollodepollo,CocaCola,
JugoNaturalchinola,Crosandequeso,,
Doritos,Empanada(Pizza),IcedTeadelimon,
Platanito,Empanada(Pollo),JugodeCartonRicapeq,
Agua(Cascada),GalletaQuarter,,
Empanada(Pizza),JugodeCartonRicapeq,,
Tartica,JugodeLataPetit,,
IcedTeadelimon,Sandwhich,,
Empanada(Pollo),,,
Empanada(Pizza),,,
Agua(Dasani),GalletadeAvena,,
Empanada(Pollo),CocaCola,,
DrPepper,BrownieCukis,Palitos,
DrPepper,BrownieCukis,Palitos,
Empanada(Pizza),,,
GalletadeAvena,,,
GalletadeAvena,,,
Agua(Cascada),Platanito,,
ChicleTrident,,,
Empanada(Pollo),,,
Agua(Cascada),Empanada(Pollo),CountryClubNaranja,GalletaNapolitana
Doritos,Lays,CanadaDry,
Empanada(Pizza),,,
Palitos,Empanada(Pollo),,
Rollodepollo,JugoNaturalguayabafresa,,
JugoNaturalchinola,GalletadeAvena,,
Empanada(Pizza),JugoNaturalavena,,
BrownieCukis,,,
JugodeCartonPetitpeq,,,
JugodeCartonPetitpeq,,,
Pringles,Empanada(Pollo),JugodeCartonRicapeq,
Empanada(Pollo),,,
Empanada(Pollo),,,
Empanada(Pizza),GalletadeAvena,Chokis,
Lays,,,
Lays,,,
Lays,,,
Lays,,,
Lays,,,
Lays,CountryClubNaranja,,
GalletaDino,,,
Empanada(Pollo),Empanada(Queso),Croqueta,
Empanada(Pizza),IcedTeadelimon,GalletadeChocolate,
Empanada(Pollo),JugoNaturalguayabafresa,,
Platanito,Lays,Lenguita,
Guineo,GalletadeChocolate,,
Agua(Cascada),GalletaCrunchy,,
Lays,,,
Lenguita,,,
Empanada(Pollo),,,
Doritos,CocaCola,,
Lenguita,,,
Agua(Cascada),,,
Agua(Cascada),Guineo,Empanada(Pollo),
Guineo,,,
Quipe,JugoNaturalchinola,,
Chulito,,,
Capricho,Chocolate,,
Empanada(Pollo),JugoNaturalchinola,,
CocaCola,GalletaRitz,,
Empanada(Pollo),JugoNaturalguayabafresa,,
Empanada(Pollo),,,
Agua(Cascada),GalletadeAvena,,
Empanada(Pollo),,,
Agua(Cascada),Guineo,Empanada(Pizza),
Empanada(Pollo),JugodeCartonRicapeq,,
Empanada(Pizza),IcedTeadelimon,,
Empanada(Pizza),Bubalu,,
Empanada(Pollo),CocaCola,,
Empanada(Pollo),JugoNaturalchinola,,
Agua(Cascada),Palitos,,
Agua(Cascada),,,
Empanada(Pizza),,,
Sandwhich,,,
Agua(Cascada),Sandwhich,,
GalletadeAvena,Cafepeq,,
Empanada(Pollo),JugodeCartonRicapeq,,
Empanada(Pollo),Pastelito,Chulito,CocaCola
BrownieCukis,,,
Capricho,JugodeCartonRicapeq,,
JugodeCartonRicapeq,,,
Empanada(Pollo),JugodeCartonRicapeq,,
Empanada(Pollo),JugodeCartonRicapeq,,
Lays,CocaCola,,
Lays,,,
Empanada(Pollo),JugodeCartonSantalpeq,,
Agua(Dasani),GalletaDino,,
Agua(Cascada),ChicleTrident,,
Agua(Cascada),,,
Agua(Cascada),,,
Empanada(Pizza),CocaCola,,
Agua(Cascada),,,
CountryClubRojo,,,
CocaCola,,,
CocaCola,,,
